id,items_,filename,from_,to_
1,юрий,cta0001.seg_Y1,0.0,18180.0
2,трифонов,cta0001.seg_Y1,18180.0,54662.0
3,обмен,cta0002.seg_Y1,0.0,31872.0
4,в,cta0003.seg_Y1,0.0,5524.0
5,июле,cta0003.seg_Y1,5524.0,24844.0
6,мать,cta0003.seg_Y1,24844.0,39176.0
7,дмитриева,cta0003.seg_Y1,39176.0,66674.0
8,ксения,cta0003.seg_Y1,66674.0,89776.0
9,федоровна,cta0003.seg_Y1,89776.0,123334.0
10,тяжело,cta0003.seg_Y1,126828.0,149792.0
11,заболела,cta0003.seg_Y1,149792.0,181270.0
12,и,cta0003.seg_Y1,204406.0,211214.0
13,ее,cta0003.seg_Y1,211214.0,222574.0
14,отвезли,cta0003.seg_Y1,222574.0,246398.0
15,в,cta0003.seg_Y1,246398.0,249268.0
16,боткинскую,cta0003.seg_Y1,249268.0,288210.0
17,где,cta0003.seg_Y1,300902.0,310382.0
18,она,cta0003.seg_Y1,310382.0,320090.0
19,пролежала,cta0003.seg_Y1,320090.0,346882.0
20,двенадцать,cta0003.seg_Y1,346882.0,375378.0
21,дней,cta0003.seg_Y1,375378.0,390928.0
22,с,cta0003.seg_Y1,409412.0,413054.0
23,подозрением,cta0003.seg_Y1,413054.0,444914.0
24,на,cta0003.seg_Y1,444914.0,450136.0
25,самое,cta0003.seg_Y1,450136.0,468514.0
26,худшее,cta0003.seg_Y1,468514.0,496230.0
27,в,cta0004.seg_Y1,0.0,468.0
28,сентябре,cta0004.seg_Y1,468.0,29146.0
29,сделали,cta0004.seg_Y1,29146.0,49528.0
30,операцию,cta0004.seg_Y1,49528.0,82710.0
31,худшее,cta0004.seg_Y1,103976.0,127894.0
32,подтвердилось,cta0004.seg_Y1,127894.0,168876.0
33,но,cta0004.seg_Y1,199322.0,205936.0
34,ксения,cta0004.seg_Y1,205936.0,226110.0
35,федоровна,cta0004.seg_Y1,226110.0,254766.0
36,считавшая,cta0004.seg_Y1,268256.0,295162.0
37,что,cta0004.seg_Y1,295162.0,304384.0
38,у,cta0004.seg_Y1,304384.0,306986.0
39,нее,cta0004.seg_Y1,306986.0,321562.0
40,болезнь,cta0004.seg_Y1,351188.0,375464.0
41,почувствовала,cta0004.seg_Y1,387860.0,423738.0
42,улучшение,cta0004.seg_Y1,423738.0,461346.0
43,стала,cta0004.seg_Y1,485192.0,502034.0
44,вскоре,cta0004.seg_Y1,502034.0,520348.0
45,ходить,cta0004.seg_Y1,520348.0,544730.0
46,и,cta0004.seg_Y1,569520.0,573596.0
47,в,cta0004.seg_Y1,573596.0,576086.0
48,октябре,cta0004.seg_Y1,576086.0,596564.0
